,ID,Trabajo,Edad,Salario,Compra
71,15726358,0,24,27000,No
72,15595228,0,20,23000,No
73,15782530,0,33,113000,No
74,15592877,1,32,18000,No
75,15651983,1,34,112000,Si
76,15746737,1,18,52000,No
77,15774179,0,22,27000,No
78,15667265,0,28,87000,No
79,15655123,0,26,17000,No
80,15595917,1,30,80000,No
81,15668385,1,39,42000,No
82,15709476,1,20,49000,No
83,15711218,1,35,88000,No
84,15798659,0,30,62000,No
85,15663939,0,31,118000,Si
86,15694946,1,24,55000,No
87,15631912,0,28,85000,No
88,15768816,1,26,81000,No
89,15682268,1,35,50000,No
90,15684801,1,22,81000,No
91,15636428,0,30,116000,No
92,15809823,1,26,15000,No
93,15699284,0,29,28000,No
94,15786993,0,29,83000,No
95,15709441,0,35,44000,No
96,15710257,0,35,25000,No
97,15582492,1,28,123000,Si
98,15575694,1,35,73000,No
99,15756820,0,28,37000,No
100,15766289,1,27,88000,No
101,15593014,1,28,59000,No
102,15584545,0,32,86000,No
103,15675949,0,33,149000,Si
104,15672091,0,19,21000,No
105,15801658,1,21,72000,No
106,15706185,0,26,35000,No
107,15789863,1,27,89000,No
108,15720943,1,26,86000,No
109,15697997,0,38,80000,No
110,15665416,0,39,71000,No
111,15660200,0,37,71000,No
112,15619653,1,38,61000,No
113,15773447,1,37,55000,No
114,15739160,1,42,80000,No
115,15689237,1,40,57000,No
116,15679297,1,35,75000,No
117,15591433,1,36,52000,No
118,15642725,1,40,59000,No
119,15701962,1,41,59000,No
120,15811613,0,36,75000,No
121,15741049,1,37,72000,No
122,15724423,0,40,75000,No
123,15574305,1,35,53000,No
124,15678168,0,41,51000,No
125,15697020,0,39,61000,No
126,15610801,1,42,65000,No
127,15745232,1,26,32000,No
128,15722758,1,30,17000,No
129,15792102,0,26,84000,No
130,15675185,1,31,58000,No
131,15801247,1,33,31000,No
132,15725660,1,30,87000,No
133,15638963,0,21,68000,No
134,15800061,0,28,55000,No
135,15578006,1,23,63000,No
136,15668504,0,20,82000,No
137,15687491,1,30,107000,Si
138,15610403,0,28,59000,No
139,15741094,1,19,25000,No
140,15807909,1,19,85000,No
141,15666141,0,18,68000,No
142,15617134,1,35,59000,No
143,15783029,1,30,89000,No
144,15622833,0,34,25000,No
145,15746422,0,24,89000,No
146,15750839,0,27,96000,Si
147,15749130,0,41,30000,No
148,15779862,1,29,61000,No
149,15767871,1,20,74000,No
150,15679651,0,26,15000,No
151,15576219,1,41,45000,No
152,15699247,1,31,76000,No
153,15619087,0,36,50000,No
154,15605327,1,40,47000,No
155,15610140,0,31,15000,No
156,15791174,1,46,59000,No
157,15602373,1,29,75000,No
158,15762605,1,26,30000,No
159,15598840,0,32,135000,Si
160,15744279,1,32,100000,Si
161,15670619,1,25,90000,No
162,15599533,0,37,33000,No
163,15757837,1,35,38000,No
164,15697574,0,33,69000,No
165,15578738,0,18,86000,No
166,15762228,0,22,55000,No
167,15614827,0,35,71000,No
168,15789815,1,29,148000,Si
169,15579781,0,29,47000,No
170,15587013,1,21,88000,No
171,15570932,1,34,115000,No
172,15794661,0,26,118000,No
173,15581654,0,34,43000,No
174,15644296,0,34,72000,No
175,15614420,0,23,28000,No
176,15609653,0,35,47000,No
177,15594577,1,25,22000,No
178,15584114,1,24,23000,No
179,15673367,0,31,34000,No
180,15685576,1,26,16000,No
181,15774727,0,31,71000,No
182,15694288,0,32,117000,Si
183,15603319,1,33,43000,No
184,15759066,0,33,60000,No
185,15814816,1,31,66000,No
186,15724402,0,20,82000,No
187,15571059,0,33,41000,No
188,15674206,1,35,72000,No
189,15715160,1,28,32000,No
190,15730448,1,24,84000,No
191,15662067,0,19,26000,No
192,15779581,1,29,43000,No
193,15662901,1,19,70000,No
194,15689751,1,28,89000,No
195,15667742,1,34,43000,No
196,15738448,0,30,79000,No
197,15680243,0,20,36000,No
198,15745083,1,26,80000,No
199,15708228,1,35,22000,No
200,15628523,1,35,39000,No
201,15708196,1,49,74000,No
202,15735549,0,39,134000,Si
203,15809347,0,41,71000,No
204,15660866,0,58,101000,Si
205,15766609,0,47,47000,No
206,15654230,0,55,130000,Si
207,15794566,0,52,114000,No
208,15800890,0,40,142000,Si
209,15697424,0,46,22000,No
210,15724536,0,48,96000,Si
211,15735878,1,52,150000,Si
212,15707596,0,59,42000,No
213,15657163,1,35,58000,No
214,15622478,1,47,43000,No
215,15779529,0,60,108000,Si
216,15636023,1,49,65000,No
217,15582066,1,40,78000,No
218,15666675,0,46,96000,No
219,15732987,1,59,143000,Si
220,15789432,0,41,80000,No
221,15663161,1,35,91000,Si
222,15694879,1,37,144000,Si
223,15593715,1,60,102000,Si
224,15575002,0,35,60000,No
225,15622171,1,37,53000,No
226,15795224,0,36,126000,Si
227,15685346,1,56,133000,Si
228,15691808,0,40,72000,No
229,15721007,0,42,80000,Si
230,15794253,0,35,147000,Si
231,15694453,1,39,42000,No
232,15813113,1,40,107000,Si
233,15614187,1,49,86000,Si
234,15619407,0,38,112000,No
235,15646227,1,46,79000,Si
236,15660541,1,40,57000,No
237,15753874,0,37,80000,No
238,15617877,0,46,82000,No
239,15772073,0,53,143000,Si
240,15701537,1,42,149000,Si
241,15736228,1,38,59000,No
242,15780572,0,50,88000,Si
243,15769596,0,56,104000,Si
244,15586996,0,41,72000,No
245,15722061,0,51,146000,Si
246,15638003,0,35,50000,No
247,15775590,0,57,122000,Si
248,15730688,1,41,52000,No
249,15753102,0,35,97000,Si
250,15810075,0,44,39000,No
251,15723373,1,37,52000,No
252,15795298,0,48,134000,Si
253,15584320,0,37,146000,Si
254,15724161,0,50,44000,No
255,15750056,0,52,90000,Si
256,15609637,0,41,72000,No
257,15794493,1,40,57000,No
258,15569641,0,58,95000,Si
259,15815236,0,45,131000,Si
260,15811177,0,35,77000,No
261,15680587,1,36,144000,Si
262,15672821,0,55,125000,Si
263,15767681,0,35,72000,No
264,15600379,1,48,90000,Si
265,15801336,0,42,108000,Si
266,15721592,1,40,75000,No
267,15581282,1,37,74000,No
268,15746203,0,47,144000,Si
269,15583137,1,40,61000,No
270,15680752,0,43,133000,No
271,15688172,0,59,76000,Si
272,15791373,1,60,42000,Si
273,15589449,1,39,106000,Si
274,15692819,0,57,26000,Si
275,15727467,1,57,74000,Si
276,15734312,1,38,71000,No
277,15764604,1,49,88000,Si
278,15613014,0,52,38000,Si
279,15759684,0,50,36000,Si
280,15609669,0,59,88000,Si
281,15685536,1,35,61000,No
282,15750447,1,37,70000,Si
283,15663249,0,52,21000,Si
284,15638646,1,48,141000,No
285,15734161,0,37,93000,Si
286,15631070,0,37,62000,No
287,15761950,0,48,138000,Si
288,15649668,1,41,79000,No
289,15713912,0,37,78000,Si
290,15586757,1,39,134000,Si
291,15596522,1,49,89000,Si
292,15625395,1,55,39000,Si
293,15760570,1,37,77000,No
294,15566689,0,35,57000,No
295,15725794,0,36,63000,No
296,15673539,1,42,73000,Si
297,15705298,0,43,112000,Si
298,15675791,1,45,79000,No
299,15747043,1,46,117000,Si
300,15736397,0,58,38000,Si
301,15678201,1,48,74000,Si
302,15720745,0,37,137000,Si
303,15637593,1,37,79000,Si
304,15598070,0,40,60000,No
305,15787550,1,42,54000,No
306,15603942,0,51,134000,No
307,15733973,0,47,113000,Si
308,15596761,1,36,125000,Si
309,15652400,0,38,50000,No
310,15717893,0,42,70000,No
311,15622585,1,39,96000,Si
312,15733964,0,38,50000,No
313,15753861,0,49,141000,Si
314,15747097,0,39,79000,No
315,15594762,0,39,75000,Si
316,15667417,0,54,104000,Si
317,15684861,1,35,55000,No
318,15742204,1,45,32000,Si
319,15623502,1,36,60000,No
320,15774872,0,52,138000,Si
321,15611191,0,53,82000,Si
322,15674331,1,41,52000,No
323,15619465,0,48,30000,Si
324,15575247,0,48,131000,Si
325,15695679,0,41,60000,No
326,15713463,1,41,72000,No
327,15785170,0,42,75000,No
328,15796351,1,36,118000,Si
329,15639576,0,47,107000,Si
330,15693264,1,38,51000,No
331,15589715,0,48,119000,Si
332,15769902,1,42,65000,No
333,15587177,1,40,65000,No
334,15814553,1,57,60000,Si
335,15601550,0,36,54000,No
336,15664907,1,58,144000,Si
337,15612465,1,35,79000,No
338,15810800,0,38,55000,No
339,15665760,1,39,122000,Si
340,15588080,0,53,104000,Si
341,15776844,1,35,75000,No
342,15717560,0,38,65000,No
343,15629739,0,47,51000,Si
344,15729908,1,47,105000,Si
345,15716781,0,41,63000,No
346,15646936,1,53,72000,Si
347,15768151,0,54,108000,Si
348,15579212,1,39,77000,No
349,15721835,1,38,61000,No
350,15800515,0,38,113000,Si
351,15591279,1,37,75000,No
352,15587419,0,42,90000,Si
353,15750335,0,37,57000,No
354,15699619,1,36,99000,Si
355,15606472,1,60,34000,Si
356,15778368,1,54,70000,Si
357,15671387,0,41,72000,No
358,15573926,1,40,71000,Si
359,15709183,1,42,54000,No
360,15577514,1,43,129000,Si
361,15778830,0,53,34000,Si
362,15768072,0,47,50000,Si
363,15768293,0,42,79000,No
364,15654456,1,42,104000,Si
365,15807525,0,59,29000,Si
366,15574372,0,58,47000,Si
367,15671249,1,46,88000,Si
368,15779744,1,38,71000,No
369,15624755,0,54,26000,Si
370,15611430,0,60,46000,Si
371,15774744,1,60,83000,Si
372,15629885,0,39,73000,No
373,15708791,1,59,130000,Si
374,15793890,0,37,80000,No
375,15646091,0,46,32000,Si
376,15596984,0,46,74000,No
377,15800215,0,42,53000,No
378,15577806,1,41,87000,Si
379,15749381,0,58,23000,Si
380,15683758,1,42,64000,No
381,15670615,1,48,33000,Si
382,15715622,0,44,139000,Si
383,15707634,1,49,28000,Si
384,15806901,0,57,33000,Si
385,15775335,1,56,60000,Si
386,15724150,0,49,39000,Si
387,15627220,1,39,71000,No
388,15672330,1,47,34000,Si
389,15668521,0,48,35000,Si
390,15807837,1,48,33000,Si
391,15592570,1,47,23000,Si
392,15748589,0,45,45000,Si
393,15635893,1,60,42000,Si
394,15757632,0,39,59000,No
395,15691863,0,46,41000,Si
396,15706071,1,51,23000,Si
397,15654296,0,50,20000,Si
398,15755018,1,36,33000,No
399,15594041,0,49,36000,Si
